trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
953,False,"{'a': 0.5, 'e': 0.008480380159953263}",30,6,47.301943323320174,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
954,False,"{'a': 0.5, 'e': 0.008438084087451532}",25,10,27.776356278088727,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
955,False,"{'a': 0.5, 'e': 0.008395998967491472}",20,10,17.58188617372323,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
956,False,"{'a': 0.5, 'e': 0.008354123747942891}",30,13,35.66922724574237,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
957,False,"{'a': 0.5, 'e': 0.00831245738192312}",20,12,13.637464092567152,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
958,False,"{'a': 0.5, 'e': 0.00827099882777084}",30,18,20.557136978739454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
959,False,"{'a': 0.5, 'e': 0.008229747049020032}",20,8,22.235578047877382,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
960,False,"{'a': 0.5, 'e': 0.008188701014374085}",20,6,24.00048288543734,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
961,False,"{'a': 0.5, 'e': 0.008147859697679984}",20,0,36.19347419711409,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
962,False,"{'a': 0.5, 'e': 0.0081072220779027}",25,11,26.70214953597648,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
963,False,"{'a': 0.5, 'e': 0.008066787139099616}",25,14,23.831594076742086,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
964,False,"{'a': 0.5, 'e': 0.008026553870395156}",20,10,21.444572153793967,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
965,False,"{'a': 0.5, 'e': 0.007986521265955504}",25,12,22.081543472204075,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
966,False,"{'a': 0.5, 'e': 0.007946688324963466}",20,16,9.018612911587137,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
967,False,"{'a': 0.5, 'e': 0.007907054051593443}",25,15,19.019634210443538,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
968,False,"{'a': 0.5, 'e': 0.007867617454986537}",20,15,6.348862492400732,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
969,False,"{'a': 0.5, 'e': 0.00782837754922577}",20,12,13.512732671197691,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
970,False,"{'a': 0.5, 'e': 0.007789333353311468}",20,14,11.428752472238092,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
971,False,"{'a': 0.5, 'e': 0.007750483891136694}",25,14,21.03453570684913,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
972,False,"{'a': 0.5, 'e': 0.00771182819146287}",25,12,20.05337053994092,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
973,False,"{'a': 0.5, 'e': 0.007673365287895491}",20,10,21.92626610613032,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
974,False,"{'a': 0.5, 'e': 0.007635094218859963}",25,18,11.65800797605592,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
975,False,"{'a': 0.5, 'e': 0.00759701402757757}",20,10,20.054639839202004,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
976,False,"{'a': 0.5, 'e': 0.007559123762041543}",30,20,17.11049735690583,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
977,False,"{'a': 0.5, 'e': 0.007521422474993272}",20,11,16.033411674471342,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
978,False,"{'a': 0.5, 'e': 0.00748390922389861}",20,16,8.208520882532934,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
979,False,"{'a': 0.5, 'e': 0.00744658307092434}",20,12,14.526452086856652,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
980,False,"{'a': 0.5, 'e': 0.0074094430829146855}",25,8,25.611832886794843,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
981,False,"{'a': 0.5, 'e': 0.007372488331368014}",25,16,18.581422169933056,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
982,False,"{'a': 0.5, 'e': 0.0073357178924136094}",25,13,21.79540518912388,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
983,False,"{'a': 0.5, 'e': 0.007299130846788585}",25,17,17.578083396449426,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
984,False,"{'a': 0.5, 'e': 0.007262726279814893}",20,10,15.636573953695116,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
985,False,"{'a': 0.5, 'e': 0.007226503281376464}",20,7,19.109701123501818,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
986,False,"{'a': 0.5, 'e': 0.007190460945896444}",30,4,41.40916288640032,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
987,False,"{'a': 0.5, 'e': 0.007154598372314581}",20,8,20.802053679136932,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
988,False,"{'a': 0.5, 'e': 0.007118914664064661}",25,10,28.95612757386905,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
989,False,"{'a': 0.5, 'e': 0.007083408929052121}",20,11,14.433061291652937,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
990,False,"{'a': 0.5, 'e': 0.007048080279631734}",20,6,25.576558487869157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
991,False,"{'a': 0.5, 'e': 0.007012927832585426}",20,9,18.19673190374936,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
992,False,"{'a': 0.5, 'e': 0.006977950709100189}",20,7,22.6610010195043,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
993,False,"{'a': 0.5, 'e': 0.006943148034746116}",30,18,20.788291618452654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
994,False,"{'a': 0.5, 'e': 0.006908518939454528}",20,6,22.647987847754155,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
995,False,"{'a': 0.5, 'e': 0.006874062557496251}",25,14,19.904535618861125,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
996,False,"{'a': 0.5, 'e': 0.006839778027459935}",25,16,18.14333749276972,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
997,False,"{'a': 0.5, 'e': 0.006805664492230545}",25,12,22.969019065783588,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
998,False,"{'a': 0.5, 'e': 0.006771721098967923}",20,3,32.36401414118121,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
999,False,"{'a': 0.5, 'e': 0.006737946999085469}",30,21,15.404589414197773,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1000,False,"{'a': 0.5, 'e': 0.006704341348228927}",25,19,13.062358991969186,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1001,False,"{'a': 0.5, 'e': 0.006670903306255276}",35,27,17.569120619051862,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1002,False,"{'a': 0.5, 'e': 0.006637632037211724}",20,9,23.59024975936991,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1003,False,"{'a': 0.5, 'e': 0.006604526709314807}",20,15,8.127706202270165,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1004,False,"{'a': 0.5, 'e': 0.006571586494929615}",20,11,13.207152585801433,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1005,False,"{'a': 0.5, 'e': 0.006538810570549065}",30,14,30.217342065891103,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1006,False,"{'a': 0.5, 'e': 0.006506198116773344}",25,17,17.10894425842593,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1007,False,"{'a': 0.5, 'e': 0.006473748318289407}",20,5,25.310568209501092,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1008,False,"{'a': 0.5, 'e': 0.006441460363850601}",20,8,23.3519740669509,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1009,False,"{'a': 0.5, 'e': 0.006409333446256385}",20,14,10.751197870374543,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1010,False,"{'a': 0.5, 'e': 0.006377366762332144}",20,6,23.552527002420504,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1011,False,"{'a': 0.5, 'e': 0.006345559512909112}",20,4,9.86966635464292,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
1012,False,"{'a': 0.5, 'e': 0.006313910902804406}",20,16,7.725527996899782,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1013,False,"{'a': 0.5, 'e': 0.006282420140801119}",30,18,24.412209770432415,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1014,False,"{'a': 0.5, 'e': 0.006251086439628563}",20,13,13.897813980710366,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1015,False,"{'a': 0.5, 'e': 0.0062199090159425745}",25,13,27.38373709535845,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1016,False,"{'a': 0.5, 'e': 0.006188887090305939}",20,15,4.798857515761532,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1017,False,"{'a': 0.5, 'e': 0.006158019887168899}",20,12,16.674705365391986,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1018,False,"{'a': 0.5, 'e': 0.006127306634849768}",30,16,29.076536417952067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1019,False,"{'a': 0.5, 'e': 0.006096746565515634}",25,16,18.2568986721428,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1020,False,"{'a': 0.5, 'e': 0.006066338915163183}",20,14,11.007834836677425,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1021,False,"{'a': 0.5, 'e': 0.0060360829235995665}",25,20,11.081874096235605,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1022,False,"{'a': 0.5, 'e': 0.006005977834423419}",25,13,22.205495029589606,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1023,False,"{'a': 0.5, 'e': 0.0059760228950059445}",20,16,8.791903858239346,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1024,False,"{'a': 0.5, 'e': 0.005946217356472096}",20,13,0.2715703624200869,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1025,False,"{'a': 0.5, 'e': 0.005916560473681859}",25,10,23.513282826606257,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1026,False,"{'a': 0.5, 'e': 0.005887051505211617}",30,7,42.2250701868955,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1027,False,"{'a': 0.5, 'e': 0.005857689713335624}",20,5,26.293642668806125,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1028,False,"{'a': 0.5, 'e': 0.005828474364007547}",20,14,11.817084178297822,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1029,False,"{'a': 0.5, 'e': 0.005799404726842143}",20,16,7.988972434067374,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1030,False,"{'a': 0.5, 'e': 0.005770480075096961}",20,8,21.245099932924518,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1031,False,"{'a': 0.5, 'e': 0.005741699685654204}",20,14,10.057159282355531,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1032,False,"{'a': 0.5, 'e': 0.005713062839002635}",25,13,23.324161902584965,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1033,False,"{'a': 0.5, 'e': 0.005684568819219597}",20,7,22.17584417414843,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1034,False,"{'a': 0.5, 'e': 0.00565621691395311}",35,17,31.00291574333169,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1035,False,"{'a': 0.5, 'e': 0.005628006414404067}",25,19,11.213781914586939,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1036,False,"{'a': 0.5, 'e': 0.005599936615308505}",25,7,30.076015309103596,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
